Store,Dept,Avg_Weekly_Demand,Demand_Std,Safety_Stock,ROP
1,1,21836.547,7893.253321485895,18418.53073251152,62091.62448251152
1,2,45777.875,3523.473171952221,8221.856851613757,99777.60685161376
1,3,13184.979,8081.669905823633,18858.191859273153,45228.14889052315
1,4,36803.984,3107.240913160407,7250.598697570814,80858.56744757081
1,5,24050.154,9965.50096543937,23254.021924924775,71354.33051867477
1,6,4732.459,2412.113639479948,5628.552307847152,15093.470276597152
1,7,23170.492,12170.271030291535,28398.747875511202,74739.73225051121
1,8,35631.926,3027.498413693916,7064.523372569795,78328.37493506979
1,9,27842.406,7617.104185957821,17774.1498755542,73458.9623755542
1,10,31099.123,3340.3215028492864,7794.481153826301,69992.7272475763
1,11,25068.531,5919.773861227309,13813.510393203516,63950.57289320351
1,12,10766.263,1758.0831121097376,4102.403218525737,25634.92860915074
1,13,38562.92,2926.721868276976,6829.366103028517,83955.20985302851
1,14,15335.531,4485.597944130446,10466.929189104547,41137.99168910454
1,16,24090.312,14789.311338838754,34510.15371134754,82690.77871134755
1,17,9351.487,1945.6987772654554,4540.195438517566,23243.170047892567
1,18,7447.4595,10829.832015056087,25270.897267959193,40165.8162132717
1,19,1447.4089,1521.4253535396092,3550.1736090380937,6444.991480131844
1,20,4280.059,1459.290864003557,3405.1857366796207,11965.303900742121
1,21,7970.491,1438.9525291868806,3357.727200938803,19298.709622813803
1,22,8180.219,2349.8935091556546,5483.364596787712,21843.803073350213
1,23,21594.516,5003.639458989282,11675.7543938109,54864.7856438109
1,24,6296.002,2972.992803529663,6937.337126922279,19529.341033172277
1,25,10309.028,1991.4622389612216,4646.982297033201,25265.038937658202
1,26,6941.7876,2076.7014100694446,4845.883843547239,18729.45903885974
1,27,1559.7142,1589.5107021687875,3709.047527698063,6828.475994494938
1,28,778.6159,1541.0400504718261,3595.9435702366695,5153.1753817601075
1,29,4794.26,1773.5219524224842,4138.429017165776,13726.948548415776
1,30,3622.3545,1473.3251601646966,3437.934098429204,10682.643082804203
1,31,2588.2688,1976.5681429870638,4612.227633365399,9788.765231021649
1,32,8005.362,3254.309127750323,7593.775372621455,23604.499005433954
1,33,6067.687,2523.272066177406,5887.935202949695,18023.309226387195
1,34,11731.189,2466.7543513553137,5756.0538069037275,29218.43271315373
1,35,2740.475,1467.2043445701402,3423.651466725303,8904.601662037803
1,36,1667.1423,1797.7367478566248,4194.933089152311,7529.217757121061
1,37,3011.514,1381.5935224394032,3223.882690249025,9246.910522280275
1,38,79276.766,9147.917900785596,21346.230778564895,179899.7620285649
1,40,58062.336,5278.4936692981955,12317.113604436352,128441.78547943635
1,41,1237.049,1605.2361421745716,3745.742093073329,6219.839993463955
1,42,8142.988,1245.4596120930044,2906.2206934362703,19192.19627937377
1,44,5049.047,1718.9286952241168,4011.0382513380873,14109.132001338086
1,45,390.20486,2217.8379677089124,5175.219279581878,5955.6290085857845
1,46,19678.78,3437.794494764684,8021.929738593834,47379.48833234383
1,47,1024.3496,3955.607114238249,9230.220826819133,11278.920045569133
1,48,1103.1403,1752.5905711537298,4089.5866357711425,6295.867153349267
1,49,11652.488,1989.8556936313141,4643.233500012899,27948.2100625129
1,51,702.776,3240.493218061463,7561.536605304917,8967.088607258043
1,52,2549.959,1513.8930253770318,3532.597279975887,8632.515248725887
1,54,302.02902,1623.4104539410614,3788.150984081825,4392.209028515419
1,55,12812.481,5223.009009261974,12187.64279253699,37812.60568316199
1,56,4222.3633,4155.3226431035055,9696.247502556438,18140.974065056438
1,58,3536.454,1843.5692227609627,4301.880986703596,11374.789189828596
1,59,961.77545,1979.4109240376895,4618.861127567875,6542.4120308881875
